"Country";"item_date_published";"num.newspaper";"num.feeds";"av.sents";"num.news"
"293";"Deutschland";2020-05-07;219;1974;-0.0262427617385288;11608
"294";"Deutschland";2020-05-08;219;1917;-0.0155911715441654;11277
"295";"Deutschland";2020-05-09;192;1283;-0.0295853531283046;4994
"296";"Deutschland";2020-05-10;209;1756;-0.0262169510315286;7465
"297";"Deutschland";2020-05-11;213;1932;-0.0194344366042275;11150
"298";"Deutschland";2020-05-12;212;1930;-0.0406704505845453;11359
"299";"Deutschland";2020-05-13;216;1902;-0.0299283942756183;11123
"300";"Deutschland";2020-05-14;217;1935;-0.0440567700787992;10910
"301";"Deutschland";2020-05-15;214;1921;-0.0300006223202802;10918
"302";"Deutschland";2020-05-16;194;1282;-0.0287464224410842;4847
"303";"Deutschland";2020-05-17;201;1726;-0.0278826979906218;7123
"304";"Deutschland";2020-05-18;215;1915;-0.0449486860537708;10864
"305";"Deutschland";2020-05-19;217;1928;-0.0234955077649704;10965
"306";"Deutschland";2020-05-20;208;1675;-0.0366504009203516;9016
"307";"Deutschland";2020-05-21;204;1688;-0.0231402214003863;6766
"308";"Deutschland";2020-05-22;217;1913;-0.0330632232716827;10150
"309";"Deutschland";2020-05-23;192;1280;-0.0494805848545681;4910
"310";"Deutschland";2020-05-24;203;1742;-0.0199693676155724;6972
"311";"Deutschland";2020-05-25;217;1920;-0.043848034586221;9484
"312";"Deutschland";2020-05-26;216;1960;-0.0297622101628322;10791
"313";"Deutschland";2020-05-27;216;1934;-0.0275097319952729;10233
"314";"Deutschland";2020-05-28;218;1946;-0.0505183970627435;11259
"315";"Deutschland";2020-05-29;217;1974;-0.0310230562384351;11136
"316";"Deutschland";2020-05-30;197;1272;-0.0316264995752789;5103
"317";"Deutschland";2020-05-31;179;1150;-0.0489719029257169;3864
"318";"Deutschland";2020-06-01;204;1727;-0.0530219280297571;7161
"319";"Deutschland";2020-06-02;213;1942;-0.0289502788318483;10519
"320";"Deutschland";2020-06-03;218;1937;-0.0556797484318396;11229
"321";"Deutschland";2020-06-04;219;1938;-0.0409373297257306;11004
"322";"Deutschland";2020-06-05;216;1920;-0.0188627537360749;9842
"323";"Deutschland";2020-06-06;197;1323;-0.0631180907382368;5218
"324";"Deutschland";2020-06-07;203;1720;-0.0554300565530744;7189
"325";"Deutschland";2020-06-08;217;1954;-0.0522569240078518;10594
"326";"Deutschland";2020-06-09;217;1943;-0.0356672647439286;11156
"327";"Deutschland";2020-06-10;209;1684;-0.0396733737435341;9395
"328";"Deutschland";2020-06-11;207;1759;-0.0639470995854294;8334
"329";"Deutschland";2020-06-12;217;1935;-0.0436213273801683;10976
"330";"Deutschland";2020-06-13;194;1343;-0.00918228284934709;5071
"331";"Deutschland";2020-06-14;200;1700;-0.0475125034860281;7154
"332";"Deutschland";2020-06-15;217;1942;-0.0225833095204739;10674
"333";"Deutschland";2020-06-16;215;1939;-0.0432390348620694;11309
"334";"Deutschland";2020-06-17;213;1970;-0.0178252310969506;11496
"335";"Deutschland";2020-06-18;215;1973;-0.0352645106451483;11533
"336";"Deutschland";2020-06-19;218;1979;-0.0452972162819993;11491
"337";"Deutschland";2020-06-20;194;1292;-0.0331832731306318;5150
"338";"Deutschland";2020-06-21;200;1704;-0.0579221446886665;7434
"339";"Deutschland";2020-06-22;216;1934;-0.0387051903447422;10931
"340";"Deutschland";2020-06-23;214;1944;-0.032889496771972;11420
"341";"Deutschland";2020-06-24;216;1928;-0.0329278230111106;10904
"342";"Deutschland";2020-06-25;216;1959;-0.0136379875352538;11328
"343";"Deutschland";2020-06-26;217;1946;-0.0122502471365324;11447
"344";"Deutschland";2020-06-27;184;1320;-0.051550659372841;5028
"345";"Deutschland";2020-06-28;204;1733;-0.0355391309645791;7323
"346";"Deutschland";2020-06-29;215;1931;-0.0332856672317766;10879
